pair,arm,setup,level,repeat,fold,n,n_pos,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc,log_loss,brier,mcc,kappa,tn,fp,fn,tp,precision_acousticguitar,recall_acousticguitar,f1_acousticguitar,precision_violin,recall_violin,f1_violin,n_train,n_test,precision_ambulance,recall_ambulance,f1_ambulance,precision_firetruck,recall_firetruck,f1_firetruck,precision_ant,recall_ant,f1_ant,precision_bee,recall_bee,f1_bee,precision_cucumber,recall_cucumber,f1_cucumber,precision_zucchini,recall_zucchini,f1_zucchini,precision_hotpot,recall_hotpot,f1_hotpot,precision_vase,recall_vase,f1_vase
ant_bee,caption,w30,image,0,0,666,335,0.93993993993994,0.9400459935969698,0.9404272987390445,0.9400459935969698,0.9399312727174334,0.988618839338053,0.989266973644392,0.26701152522319144,0.06674078704610577,0.8804732097704104,0.8799015409029024,317,14,26,309,,,,,,,13310,3330,,,,,,,0.924198250728863,0.9577039274924471,0.9406528189910979,0.9566563467492261,0.9223880597014925,0.939209726443769,,,,,,,,,,,,
ant_bee,caption,w30,caption,0,1,3330,1675,0.9333333333333333,0.9333561798259458,0.9333430488105334,0.9333561798259458,0.9333331168999819,0.9850172701447446,0.9862302938166683,0.2650763336629484,0.06726456597321251,0.8666992285370078,0.8666685904846759,1551,104,118,1557,,,,,,,13310,3330,,,,,,,0.9292989814260036,0.9371601208459215,0.9332129963898917,0.9373871161950632,0.9295522388059702,0.9334532374100719,,,,,,,,,,,,
ant_bee,caption,w30,image,0,1,666,335,0.9414414414414415,0.9414483473869324,0.9414364042998341,0.9414483473869324,0.9414402532313374,0.9877801325697795,0.9888872374633281,0.26221013673957616,0.06512069024096259,0.8828847516059873,0.882880770514127,312,19,20,315,,,,,,,13310,3330,,,,,,,0.9397590361445783,0.9425981873111783,0.9411764705882353,0.9431137724550899,0.9402985074626866,0.9417040358744395,,,,,,,,,,,,
ant_bee,caption,w30,caption,0,2,3330,1670,0.9390390390390391,0.9390303729889619,0.9390574557481182,0.9390303729889619,0.9390370543856138,0.9866032393045235,0.9850017640331232,0.26165773481594323,0.06549483928421523,0.8780878283194247,0.8780749994138134,1554,106,97,1573,,,,,,,13310,3330,,,,,,,0.9412477286493035,0.936144578313253,0.9386892177589852,0.9368671828469327,0.9419161676646707,0.9393848910122424,,,,,,,,,,,,
ant_bee,caption,w30,image,0,2,666,334,0.9429429429429429,0.9429243921794964,0.9430202770962621,0.9429243921794964,0.9429383116883117,0.9889888896904986,0.9878255593685078,0.25878672353703924,0.06333776719795009,0.8859446640869936,0.8858807402330363,311,21,17,317,,,,,,,13310,3330,,,,,,,0.948170731707317,0.9367469879518072,0.9424242424242424,0.9378698224852071,0.9491017964071856,0.9434523809523809,,,,,,,,,,,,
ant_bee,caption,w30,caption,0,3,3325,1670,0.9227067669172933,0.9227662499773867,0.922972850678733,0.9227662499773867,0.9227004742316068,0.981400220706623,0.9820537956806692,0.27485539242397533,0.0713481586939887,0.8457390754214755,0.8454292626676012,1549,106,151,1519,,,,,,,13315,3325,,,,,,,0.9111764705882353,0.93595166163142,0.923397913561848,0.9347692307692308,0.9095808383233533,0.9220030349013657,,,,,,,,,,,,
ant_bee,caption,w30,image,0,3,665,334,0.9293233082706767,0.9293693579608155,0.9294781318422815,0.9293693579608155,0.9293207510475816,0.9845234003292509,0.9853004190378242,0.27192212482534783,0.06921210225770719,0.8588474829149373,0.858657163917894,311,20,27,307,,,,,,,13315,3325,,,,,,,0.9201183431952663,0.9395770392749244,0.929745889387145,0.9388379204892966,0.9191616766467066,0.9288956127080181,,,,,,,,,,,,
ant_bee,caption,w30,caption,0,4,3325,1670,0.9254135338345865,0.9254581471498091,0.9255576135529624,0.9254581471498091,0.9254110982786119,0.9825942073556814,0.9825836212541145,0.2663984431125694,0.06824111638853421,0.8510157548899736,0.8508377937885861,1548,107,141,1529,,,,,,,13315,3325,,,,,,,0.91651865008881,0.9353474320241691,0.9258373205741627,0.934596577017115,0.9155688622754491,0.9249848759830611,,,,,,,,,,,,
ant_bee,caption,w30,image,0,4,665,334,0.9323308270676691,0.9323633699368634,0.9324024822695036,0.9323633699368634,0.9323302149830062,0.9855183892034661,0.9855978437181163,0.2632997306162362,0.0660050860706161,0.8647658513218648,0.8646680806609895,311,20,25,309,,,,,,,13315,3325,,,,,,,0.9255952380952381,0.9395770392749244,0.9325337331334332,0.939209726443769,0.9251497005988024,0.9321266968325792,,,,,,,,,,,,
ant_bee,caption,w30,caption,1,0,3330,1675,0.921021021021021,0.9210416196960816,0.9210277986996684,0.9210416196960816,0.9210206720245406,0.9796646976597376,0.9792279318581656,0.27851228308273335,0.07333022734665971,0.8420694182823271,0.8420437513865067,1530,125,138,1537,,,,,,,13310,3330,,,,,,,0.9172661870503597,0.9244712990936556,0.9208546494131808,0.9247894103489771,0.9176119402985075,0.9211866946359005,,,,,,,,,,,,
ant_bee,caption,w30,image,1,0,666,335,0.9324324324324325,0.9324209766875592,0.9324404761904762,0.9324209766875592,0.9324286239293307,0.9828561121883032,0.9825805348266362,0.27532787352084764,0.07112887796737671,0.8648614526582137,0.8648575525553962,308,23,22,313,,,,,,,13310,3330,,,,,,,0.9333333333333333,0.9305135951661632,0.9319213313161876,0.9315476190476191,0.9343283582089552,0.9329359165424739,,,,,,,,,,,,
ant_bee,caption,w30,caption,1,1,3330,1675,0.9453453453453453,0.9454299499481444,0.9456460109983431,0.9454299499481444,0.945341480915243,0.9866268656716417,0.9880266351865095,0.2658677057515614,0.06627370591575069,0.8910759347521,0.8907056721025894,1588,67,115,1560,,,,,,,13310,3330,,,,,,,0.9324721080446271,0.9595166163141994,0.9458010720667064,0.958819913952059,0.9313432835820895,0.9448818897637795,,,,,,,,,,,,
ant_bee,caption,w30,image,1,1,666,335,0.948948948948949,0.9490192541822609,0.9491488728315878,0.9490192541822609,0.9489471073634848,0.9896198764485729,0.9909282779551678,0.2629843887248336,0.06398697897753695,0.8981681176609259,0.897908945816539,318,13,21,314,,,,,,,13310,3330,,,,,,,0.9380530973451328,0.9607250755287009,0.9492537313432836,0.9602446483180428,0.9373134328358209,0.9486404833836858,,,,,,,,,,,,
ant_bee,caption,w30,caption,1,2,3330,1670,0.9246246246246246,0.9246464901522257,0.924703940544587,0.9246464901522257,0.9246230951849522,0.9786039968256257,0.9782821986467825,0.2756419273308509,0.07167846577290812,0.8493504287538294,0.8492546869504838,1547,113,138,1532,,,,,,,13310,3330,,,,,,,0.9181008902077151,0.9319277108433734,0.9249626307922272,0.931306990881459,0.9173652694610779,0.9242835595776773,,,,,,,,,,,,
ant_bee,caption,w30,image,1,2,666,334,0.9309309309309309,0.9309483442753048,0.9309794372294373,0.9309483442753048,0.9309303080585816,0.9815038597503787,0.9813393619040234,0.27240928652346935,0.06951195337969618,0.8619277809439225,0.8618655989611514,311,21,25,309,,,,,,,13310,3330,,,,,,,0.9255952380952381,0.9367469879518072,0.9311377245508982,0.9363636363636364,0.9251497005988024,0.9307228915662651,,,,,,,,,,,,
ant_bee,caption,w30,caption,1,3,3325,1670,0.9362406015037594,0.9363071440201169,0.9365835777126099,0.9363071440201169,0.9362335359675785,0.9902849286321617,0.9907001133158524,0.2507391425226884,0.06145405492323769,0.8728906779611605,0.8724959075328528,1574,81,131,1539,,,,,,,13315,3325,,,,,,,0.92316715542522,0.9510574018126888,0.9369047619047619,0.95,0.921556886227545,0.9355623100303951,,,,,,,,,,,,
ant_bee,caption,w30,image,1,3,665,334,0.9383458646616541,0.9384192340394739,0.9387684898520812,0.9384192340394739,0.9383369406166532,0.9920943611266893,0.9924490244426564,0.24839496683302106,0.05945953254456625,0.8771876543627507,0.8767076209296332,316,15,26,308,,,,,,,13315,3325,,,,,,,0.9239766081871345,0.9546827794561934,0.9390787518573551,0.9535603715170279,0.9221556886227545,0.9375951293759512,,,,,,,,,,,,
ant_bee,caption,w30,caption,1,4,3325,1670,0.9275187969924812,0.9275458147149809,0.9275653068106656,0.9275458147149809,0.9275185609740015,0.9850064222009154,0.9849474500835097,0.26648187887259905,0.06828148804514572,0.8551111213034872,0.8550429041889358,1545,110,131,1539,,,,,,,13315,3325,,,,,,,0.9218377088305489,0.9335347432024169,0.9276493545481838,0.9332929047907823,0.921556886227545,0.9273877673998192,,,,,,,,,,,,
ant_bee,caption,w30,image,1,4,665,334,0.9368421052631579,0.9368543879009352,0.9368464850392562,0.9368543879009352,0.936841962444372,0.98724605170324,0.9872618285665942,0.26377266929249477,0.06619630294481252,0.8737008729044496,0.8736850674312798,311,20,22,312,,,,,,,13315,3325,,,,,,,0.933933933933934,0.9395770392749244,0.9367469879518072,0.9397590361445783,0.9341317365269461,0.9369369369369369,,,,,,,,,,,,
ant_bee,caption,w30,caption,2,0,3330,1675,0.9327327327327327,0.932733913514001,0.9327282939194368,0.932733913514001,0.9327307672328711,0.978426117148397,0.9759611251285987,0.27448279057684966,0.07063512016371486,0.8654622074151934,0.8654615829980034,1544,111,113,1562,,,,,,,13310,3330,,,,,,,0.931804465902233,0.9329305135951662,0.9323671497584541,0.9336521219366407,0.9325373134328359,0.9330943847072879,,,,,,,,,,,,
